date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-02-23,6,-4,0.0,5.4,1,1,0,07:49 AM,05:05 PM,07:17 AM,05:31 PM,1,-1,4,-1,54,70,74,1.3,1001,6,10,262,36
2020-02-24,5,4,0.0,7.1,1,1,0,08:05 AM,06:17 PM,07:15 AM,05:33 PM,1,-0,5,-0,39,66,78,1.1,1008,5,10,261,26
2020-02-25,5,3,0.3,3.8,1,1,8,08:19 AM,07:28 PM,07:12 AM,05:35 PM,1,-2,4,-2,59,100,82,4.6,986,5,8,232,43
2020-02-26,2,0,1.0,3.9,1,1,15,08:32 AM,08:38 PM,07:10 AM,05:37 PM,-1,-4,1,-4,35,100,86,2.7,989,2,5,231,27
2020-02-27,5,1,0.3,3.9,1,1,23,08:44 AM,09:49 PM,07:07 AM,05:39 PM,-1,-1,2,-1,16,81,75,1.2,998,5,9,212,11
2020-02-28,6,2,0.3,3.9,1,1,30,08:56 AM,11:00 PM,07:05 AM,05:41 PM,1,-1,4,-1,34,71,79,0.8,1005,6,10,273,22
2020-02-29,6,-1,0.0,3.9,1,1,38,09:11 AM,No moonset,07:02 AM,05:43 PM,3,-0,4,-0,49,87,89,4.6,994,6,9,167,32
2020-03-01,6,5,0.0,3.9,1,1,44,09:28 AM,12:12 AM,07:00 AM,05:45 PM,2,-0,5,-0,49,70,78,0.7,989,6,10,214,32
2020-03-02,6,4,0.0,8.7,1,1,51,09:49 AM,01:25 AM,06:57 AM,05:47 PM,3,2,5,2,22,47,86,0.0,993,6,10,160,14
2020-03-03,6,4,0.0,4.1,1,1,58,10:18 AM,02:38 AM,06:55 AM,05:50 PM,3,2,5,2,17,92,89,0.9,998,6,10,111,12
2020-03-04,6,4,0.0,7.2,1,1,65,10:58 AM,03:48 AM,06:52 AM,05:52 PM,2,1,5,1,31,60,82,1.0,1004,6,10,256,21
2020-03-05,5,3,0.0,7.2,1,1,73,11:54 AM,04:49 AM,06:50 AM,05:54 PM,2,0,4,0,24,51,87,0.1,1003,5,10,185,16
2020-03-06,6,0,0.0,4.2,1,1,80,01:05 PM,05:39 AM,06:47 AM,05:56 PM,2,-0,4,-0,43,76,83,1.7,999,6,10,80,29
2020-03-07,6,3,0.0,4.2,1,1,87,02:28 PM,06:17 AM,06:44 AM,05:58 PM,2,1,4,1,23,74,85,2.3,1010,6,10,338,16
2020-03-08,7,4,0.0,5.8,1,1,95,04:00 PM,06:46 AM,06:42 AM,06:00 PM,3,1,6,1,44,78,85,0.0,1010,7,10,195,28
2020-03-09,8,6,0.0,7.3,1,1,100,05:34 PM,07:08 AM,06:39 AM,06:02 PM,5,3,6,3,28,64,90,5.1,1007,8,9,214,16
2020-03-10,7,1,0.0,5.8,1,1,100,07:07 PM,07:27 AM,06:37 AM,06:04 PM,4,1,5,1,48,84,90,3.0,999,7,9,192,30
2020-03-11,8,6,0.0,11.6,1,1,84,08:39 PM,07:44 AM,06:34 AM,06:06 PM,2,2,7,2,51,42,75,1.6,1000,8,10,272,31
2020-03-12,7,5,0.0,7.3,1,1,76,10:11 PM,08:00 AM,06:32 AM,06:08 PM,2,0,6,0,65,79,76,0.8,994,7,9,265,44
2020-03-13,6,3,0.0,5.9,1,1,69,11:41 PM,08:18 AM,06:29 AM,06:10 PM,1,-1,4,-1,44,72,77,2.7,1002,6,9,273,30
2020-03-14,4,-0,0.0,11.6,1,1,62,No moonrise,08:40 AM,06:26 AM,06:12 PM,-5,-0,3,-0,26,6,55,0.0,1022,4,10,161,19
2020-03-15,8,4,0.0,6.0,1,1,55,01:06 AM,09:07 AM,06:24 AM,06:14 PM,2,1,6,1,62,68,73,0.0,1014,8,10,197,39
2020-03-16,9,1,0.0,8.8,1,1,47,02:24 AM,09:43 AM,06:21 AM,06:16 PM,5,4,7,4,35,62,82,1.3,1015,9,10,278,20
